Dataset,C,Kernel,Gamma,Epsilon,Tolerance,Mean Error,Standard Deviation
DSI2,1.0,linear,N/A,tol0.001,scaled,6.964,0.086
MAN2,1.0,rbf,gscale,0.001,0.001,2.269,0.008
