Error
19.20058
19.55333
18.61694
20.58374
19.04163
20.1983
19.03178
19.21026
19.59075
19.21344
17.63014
18.76702
18.12744
17.44665
17.63338
17.5332
17.75775
17.62558
17.71577
17.66549
14.28437
19.07723
14.38595
14.25843
14.73618
14.57815
15.13356
14.68341
18.66288
14.38708
12.47112
13.59826
12.27306
12.57779
12.63817
12.02009
12.75487
16.32447
14.42409
13.42572
10.59978
10.73551
10.83966
10.67091
13.09592
10.73056
14.56709
10.78034
10.95003
10.63982
8.32916
8.46253
8.46723
10.27364
8.23946
8.04712
8.08921
10.22593
8.04473
8.29091
7.28844
7.1664
6.44207
7.08776
6.73185
9.45078
9.40169
8.79816
6.91208
6.80262
5.95496
7.16396
5.14155
6.40944
6.57496
4.87837
5.31541
5.18884
8.23792
5.11158
2.99147
3.30476
5.5903
3.94656
3.80708
5.07033
3.52638
2.94806
3.48403
3.14685
1.23519
0.6251
3.08438
4.97537
1.58663
2.88774
4.29535
1.88429
1.88132
0.50426
3.61064
2.27867
3.2366
3.48491
1.53041
2.55519
2.45529
3.00421
4.37964
4.26885
3.04277
3.15272
4.23359
2.48146
1.77082
1.48756
2.50013
2.72788
1.64654
2.6617
9.71005
11.2568
9.84819
14.69049
12.39008
9.73233
8.91735
9.46989
10.59474
10.05983
7.28592
6.87064
7.12137
7.78685
7.42622
9.59337
6.22732
6.82545
10.49446
8.87196
6.09764
10.13428
7.1502
6.16705
8.3462
6.3592
8.02751
8.47425
6.88224
6.9654
4.03635
3.92302
6.61946
4.80349
7.2391
4.2135
4.4607
5.88079
5.90447
6.0856
4.64158
2.47933
4.70665
3.49365
2.68915
3.55452
3.67958
4.53123
5.34402
5.42734
3.82689
1.79511
3.00033
3.5174
2.61903
2.36666
2.49203
3.071
2.95715
4.07711
2.44233
2.77263
4.90847
2.2517
0.58907
1.55563
2.38547
1.15199
2.41976
3.44236
0.83904
1.87964
0.86995
5.64367
1.17495
0.55835
4.59049
2.11157
1.07017
0.81955
2.29268
1.9044
2.06354
0.85124
0.94468
1.81979
2.72335
2.21136
1.78587
1.15517
6.16185
5.74655
5.49094
5.96724
5.18485
5.94812
4.83904
5.33722
3.31169
6.4743
6.29733
4.89135
5.94558
5.04499
6.1362
4.84911
6.20653
3.98808
7.42711
6.89042
5.50541
6.52824
7.55022
5.90632
8.26078
5.88142
5.78398
5.82443
6.09114
5.92827
8.67871
7.34107
8.229
8.47198
7.53507
7.93095
8.95824
8.27302
8.01792
7.77893
6.01345
5.91502
6.13059
5.66261
6.44981
6.24748
5.35207
6.054
4.59863
5.38715
3.77164
5.60471
3.84181
4.28399
3.66032
4.39611
3.22688
5.48731
4.92041
4.75834
4.32419
4.05483
3.16024
3.01945
3.11841
4.46272
3.17928
5.7834
4.83133
4.50978
3.99668
2.30809
4.4131
3.48154
4.94449
4.53148
3.96219
4.04982
3.18754
2.35978
1.86411
1.75897
2.54884
2.10655
1.95498
2.03073
2.05553
2.29141
2.76657
1.57061
1.54027
5.69287
1.97175
1.3057
3.05213
2.6175
3.9923
1.24774
1.9636
2.73597
2.02666
0.83377
1.8109
1.87335
1.39443
1.57152
2.30435
2.95308
1.99913
2.13369
1.55981
1.52082
0.26844
0.6524
1.96795
1.7389
0.592
1.5964
2.55462
2.0456
0.52254
1.96193
1.23723
2.47734
0.08403
1.14114
4.6576
0.84647
1.38511
3.71545
4.253
4.65082
4.1844
4.898
5.94559
4.54576
3.71998
4.4772
3.43235
2.0577
2.39251
4.77112
5.09177
3.53527
3.63505
3.81293
3.88096
4.91418
4.69479
1.52951
5.34486
5.49966
3.05053
3.62612
6.81174
5.47981
4.42924
3.49606
4.053
6.02074
3.14844
3.69605
3.49687
3.87898
5.59938
3.35783
3.29626
3.78089
3.55137
3.18441
3.99803
4.55955
4.49959
5.49409
3.78861
3.89529
7.44673
6.584
3.65826
7.86015
3.35636
3.8403
6.61861
8.3105
10.80382
4.17358
4.12918
4.01678
3.94967
6.5404
9.95872
9.62407
9.90379
9.21198
11.85867
9.64119
14.942
9.68067
10.01268
14.12768
13.95932
13.96049
12.91279
13.72065
20.77208
13.82539
20.83807
13.54881
16.5908
15.43338
15.15621
18.27653
16.20088
17.64793
18.69856
16.67978
14.18851
18.19105
14.58929
21.0731
18.17764
18.90839
14.69531
14.57814
14.98364
17.53886
16.40771
16.72979
16.86472
16.2231
7.16568
6.46297
6.27986
7.52166
4.88099
6.88361
5.1573
4.88835
11.75128
5.30594
6.74688
7.47667
9.27799
8.96236
9.85886
6.59137
7.09072
12.44801
10.46227
12.98406
